,name,surname
407,Claudia,Monteiro
408,Camille,Benjamin
409,Alycia,Moulton
410,Petra,Delhees Jauch
411,Yvonne,Vermaak
412,Jane,Preyer
413,Vicki,Nelson
414,Heather,Ludloff
415,Steffi,Graf
416,Catherine,Suire
417,Robin,White
418,Gigi,Fernandez
419,Amanda,Brown
420,Kathy,Rinaldi Stunkel
421,Anna Maria,Fernandez
422,Pascale,Paradis Mangon
423,Raffaella,Reggi Concato
424,Carling,Bassett Seguso
425,Etsuko,Inoue
426,Sophie,Amiach
427,Kim,Staunton
428,Beth,Herr
429,Lori,Mcneil
430,Elizabeth,Minter
431,Marcela,Skuherska
432,Lilian,Drescher
433,Laura,Bernstein
434,Kim,Jones
435,Shelley,Solomon
436,Barbara,Gerken
437,Carina,Karlsson
438,Annabel,Croft
439,Michaela,Washington
440,Jenny,Byrne
441,Shawn,Foltz
442,Louise,Field
443,Andrea,Temesvari
444,Sara,Gomer
445,Elise,Burgin
446,Svetlana,Cherneva
447,Colleen,Carney
448,Adriana,Villagran Reami
449,Sandy,Collins
450,Petra,Keppeler
451,Larisa,Savchenko
452,Beverly,Mould
453,Tine,Scheuer Larsen
454,Catarina,Lindqvist Ryan
455,Myriam,Schropp
456,Katerina,Maleeva
457,Masako,Yanagi
458,Andrea,Holikova
459,Rebecca,Bryant
460,Linda,Gates
461,Regina,Marsikova
462,Lisa,Spain Short
463,Belinda,Cordwell
464,Terry,Holladay
465,Ann,Henricksson
466,Lisa,Bonder Kreiss
467,Molly,Van Nostrand
468,Janine,Tremelling
469,Hu,Na
470,Nicole,Bradtke
471,Dee Ann,Hansel
472,Jamie,Golder
473,Helen,Kelesi
474,Beverly,Bowes
475,Louise,Allen
476,Lisa,Oneill
477,Cammy,Macgregor
478,Susan,Rimes
479,Caryn,Copeland Wilson
480,Emiko,Okagawa
481,Claudia,Porwik
482,Elna,Reinach
483,Judith,Wiesner
484,Kumiko,Okamoto
485,Ann,Devries
486,Manon,Bollegraf
487,Csilla,Cserepy
488,Eva,Krapl
489,Alison,Scott
490,Yukie,Koizumi
491,Michaela,Pazderova
492,Christina,Singer
493,Tina,Mochizuki
494,Marianne,Van Der Torre
495,Dianne,Van Rensburg
496,Akiko,Kijimuta
497,Terry,Phelps
498,Patricia,Hy Boulais
499,Michelle,Jaggard Lai
500,Sally,Mccann
501,Pilar,Vasquez
502,Marianne,Werdel Witmeyer
503,Andrea,Betzner
504,Gretchen,Magers
505,Julie,Salmon
506,Michelle,Bowrey
507,Wiltrud,Probst
508,Kathrin,Keil
509,Virginie,Paquet
510,Michelle,Turk
511,Julie,Richardson
512,Amy,Jonsson Raaholt
513,Clare,Thompson
514,Pamela,Jung
515,Monique,Javer
516,Lindsay,Bartlett
517,Jennifer,Fuchs
518,Xanthe,Adams
519,Paulette,Moreno
520,Sybille,Niox Chateau
521,Sarah,Loosemore
522,Hellas,Ter Riet
523,Nicole,Jagerman
524,Olga,Tsarbopoulou
525,Karen,Deed
526,Jennifer,Goodling
527,Carol,Christian
528,Maria Christine,Damas
529,Katie,Rickett
530,Jill,Smoller
531,Radomira,Zrubakova
532,Elizabeth,Galphin
533,Maider,Laval
534,Pam,Casale
535,Melissa,Brown
536,Jo Anne,Faull
537,Stephanie,Faulkner
538,Cynthia,Macgregor
539,Akemi,Nishiya
540,Jana,Novotna
541,Amy,Schwartz
542,Sherri,Norris
543,Clare,Wood
544,Jill,Hetherington
545,Celine,Cohen
546,Ei,Iida
547,Stephanie,Savides
548,Sandra,Wasserman
549,Patty,Fendick
550,Penny,Barg
551,Emmanuelle,Derly
552,Teresa,Edgar
553,Maria,Lindstrom
554,Carin,Bakkum
555,Brenda,Schultz Mccarthy
556,Valda,Lake
557,Wendy,Wood
558,Katrina,Adams
559,Leigh Anne,Eldredge
560,Kristine,Kunce
561,Rene,Simpson
562,Cathy,Caverzasio
563,Martina,Pawlik
564,Jane,Taylor
565,Hester,Witvoet
566,Nathalie,Guerree Spitzer
567,Donna,Faber
568,Jennifer,Santrock
569,Andrea,Farley
570,Petra,Pichalova Langrova
571,Veronika,Martinek
572,Jonna,Jonerup
573,Gabriela,Sabatini
574,Cecilia,Dahlman
575,Eva,Sviglerova
576,Anna,Ivan
577,Nathalie,Herreman
578,Louise,Stacey
579,Rennae,Stubbs
580,Karin,Kschwendt
581,Kimberly,Kessaris
582,Tamaka,Takagi
583,Maria,Strandlund Tomsvik
584,Laxmi,Poruri
585,Laura,Golarsa
586,Kathy,Horvath
587,Federica,Bonsignori
588,Silke,Meier
589,Renata,Baranski
590,Halle,Cioffi
591,Gisele,Miro
592,Ronni,Reis
593,Sandrine,Jaquet
594,Karine,Quentrec
595,Iwona,Kuczynska
596,Ann,Grossman
597,Sabine,Krein Auer
598,Mary Joe,Fernandez
599,Jeri,Ingram
600,Carrie,Cunningham
601,Simone,Schilder
602,Leila,Meskhi
603,Shaun,Stafford
604,Justine,Hodder
605,Barbara,Paulus
606,Regina,Rajchrtova
607,Nana,Smith
608,Beate,Reinstadler
609,Audra,Keller
610,Steffi,Menning
611,Stacey,Martin
612,Tracey,Morton Rodgers
613,Natalia,Medvedeva
614,Lise,Gregory
615,Elena,Pampoulova
616,Kristin,Godridge
617,Pascale,Etchemendy
618,Kimiko,Date Krumm
619,Eva Maria,Schurhoff
620,Kate,Mcdonald
621,Kirrily,Sharpe
622,Isabelle,Demongeot
623,Maya,Kidowaki
624,Petra,Thoren
625,Tami,Whitlinger Jones
626,Jana,Pospisilova
627,Emanuela,Zardo
628,Petra,Schwarz
629,Sabrina,Goles
630,Cristina,Tessi
631,Laura,Arraya
632,Maria,Ekstrand
633,Andrea,Strnadova
634,Stacey,Schefflin
635,Elena,Brioukhovets
636,Ingelise,Driehuis
637,Danielle,Jones
638,Catherine,Barclay
639,Stephanie,Rottier
640,Claudine,Toleafoa
641,Mercedes,Paz
642,Patricia,Tarabini
643,Denisa,Szabova
644,Petra,Kamstra
645,Naoko,Sawamatsu
646,Maja,Zivec Skulj
647,Francesca,Romano
648,Noelle,Van Lottum
649,Marketa,Kochta
650,Ginger,Helgeson
651,Isabel,Cueto
652,Sabine,Hack
653,Monica,Seles
654,Yayuk,Basuki
655,Patty,Oreilly
656,Nicole,Arendt
657,Jessica,Emmons
658,Radka,Bobkova
659,Fang,Li
660,Rika,Hiraki
661,Kimberly,Po Messerli
662,Samantha,Smith
663,Joanne,Limmer
664,Nanne,Dahlman
665,Stephanie,Rehe
666,Yone,Kamio
667,Marion,Maruska
668,Ines,Gorrochategui
669,Silke,Frankl
670,Debbie,Graham
671,Nathalie,Housset
672,Meike,Babel
673,Barbara,Mulej
674,Susan,Sloane Lundy
675,Bettina,Fulco
676,Eugenia,Maniokova
677,Mana,Endo
678,Katja,Oeljeklaus
679,Gloria,Pizzichini
680,Caroline,Kuhlman
681,Nadin,Ercegovic
682,Natalia,Baudone
683,Joannette,Kruger
684,Monique,Kiene
685,Shi Ting,Wang
686,Christelle,Fauche
687,Sandra,Dopfer
688,Katarzyna,Nowak
689,Noelia,Perez Penate
690,Tessa,Price
691,Kyoko,Nagatsuka
692,Flora,Perfetti
693,Marzia,Grossi
694,Elena,Makarova
695,Elly,Hakami
696,Tina,Krizan
697,Christina,Papadaki
698,Janette,Husarova
699,Petra,Begerow
700,Meredith,Mcgrath
701,Silvia,Farina Elia
702,Caroline,Vis
703,Naoko,Kijimuta
704,Katarina,Studenikova
705,Maria Jose,Gaidano
706,Linda,Ferrando
707,Catalina,Cristea
708,Romana,Tedjakusuma
709,Sandra,Cacic
710,Rossana,De Los Rios
711,Magdalena,Feistel
712,Tatiana,Ignatieva
713,Katerina,Kroupova
714,Yuka,Yoshida
715,Yvette,Basting
716,Mariaan,De Swardt
717,Sung Hee,Park
718,Anne,Miller
719,Ludmila,Richterova
720,Siobhan,Drake Brockman
721,Dally,Randriantefy
722,Hiromi,Nagano
723,Francesca,Lubiani
724,Iva,Majoli
725,Lea,Ghirardi
726,Sandra,Cecchini
727,Nancy,Feber
728,Adriana,Serra Zanetti
729,Melanie,Schnell
730,Lindsay,Lee Waters
731,Min,Tang
732,Gail,Biggs
733,Magdalena,Grzybowska
734,Trudi,Musgrave
735,Tatjana,Jecmenica
736,Miho,Saeki
737,Li Ling,Chen
738,Aleksandra,Olsza
739,Lenka,Cenkova
740,Stephanie,De Ville
741,Elena,Tatarkova
742,Renee,Reid
743,Olga,Lugina
744,Nirupama,Sanjeev
745,Svetlana,Krivencheva
746,Andrea,Glass
747,Sandra,Kloesel
748,Haruka,Inoue
749,Venus,Williams
750,Samantha,Reeves
751,Karin,Miller
752,Conchita,Martinez Granados
753,Raluca,Sandu
754,Cindy,Watson
755,Jill,Craybas
756,Daniela,Marzano
757,Bunny,Bruning
758,Pamela,Bailey
759,Rayni,Fox
760,Katja,Ebbinghaus
761,Pauline,Elliott
762,Michelle,Pekovitch
763,Sharon,Pinchbeck
764,Cathy,Drury
765,Elena,Bovina
766,Katalin,Marosi
767,Jennifer,Hopkins
768,Holly,Parkinson
769,Laurence,Andretto
770,Giulia,Casoni
771,Stephanie,Cohen Aloro
772,Sophie,Erre
773,Anastasia,Myskina
774,Stephanie,Foretz Gacon
775,Vanessa,Webb
776,Tatiana,Kovaltchouk
777,Angelika,Bachmann
778,Marta,Marrero
779,Irene,Fraisse
780,Maryna,Godwin
781,Irena,Skulj
782,Edda,Buding
783,Esme,Emmanuel
784,Jitka,Horcickova
785,Fay,Toyne
786,Vlasta,Kodesova
787,Claudine,Rouire
788,Fiorella,Bonicelli
789,Carol Ann,Kalogeropoulos
790,Lea,Pericoli
791,Paola,Palacios
792,Rosie,Reyes
793,Christina,Lindstrom
794,Mabel,Vrancovich
795,Marianne,Kindler
796,Patricia,Montano
797,Sally,Holdsworth
798,Anne Marie,Studer
799,Lubka,Radkova
800,Christiane,Spinoza
801,Frances,Maclennan
802,Kora,Schediwy
803,Marion,Cristiani
804,Raquel,Giscafre
805,Anna,Dmitrieva
806,Aline,Nenot
807,Birgitta,Lindstrom
808,Ulla,Sandulf
809,Laura,Rossouw
810,Johanne,Venturino
811,Annette,Van Zyl
812,Junko,Sawamatsu
813,Odile,De Roubin
814,Ingrid,Bentzer
815,Gillian,Dove
816,Roberta,Beltrame
817,Ann,Phillips Moore
818,Judy,Congdon
819,Faye,Urban
820,Nicole,Niox Chateau
821,Eugenia,Isopaitis
822,Monica,Giorgi
823,Ilse,Buding
824,Eva,Lundquist
825,Galina,Baksheeva
826,Maylis,Burel
827,Greta,Delport
828,Suzanne,Schmitt
829,Maria Cristina,Borba Dias
830,Nancy,Richey
831,Chantal,Langanay
832,Carmen,Coronado
833,Daniele,Bouteleux
834,Judith,Szorenyi
835,Suzana,Gesteira
836,Janine,Lieffrig
837,Maria,Chakarova
838,Alenka,Pipan
839,Janine,Mauroy Toffier
840,Ingrid,Loeys
841,Eva,Szabo
842,Maria Jose,Aubet
843,Evelyne,Terras
844,Virginia,Caceres
845,Martha,Wolf Peterdy
846,Patricia,Walkden
847,Michelle,Rodriguez
848,Dionissia,Asteri
849,Maria,Bueno
850,Francesca,Gordigiani
851,Monique,Salfati
852,Margarita,Zuleta
853,Yulia,Berberian
854,Anne Marie,Larue
855,Maria Teresa,Nasuelli
856,Erzsebet,Polgar
857,Ana,Cavadini
858,Wendy,Tomlinson
859,Dorothy,Knode
860,Danuta,Wieczorek
861,Kristy,Pigeon
862,Yaeko,Matsuda
863,Valerie,Ziegenfuss
864,Zaiga,Yansone
865,Tiiu,Kivi
866,Heather,Nicholls
867,Linda,Tuero
868,Kerstin,Seelbach
869,Brenda,Kirk
870,Maria Eugenia,Guzman
871,Peaches,Bartkowicz
872,Tory Ann,Fretz
873,Nicole,Bimes
874,Ana Maria,Arias
875,Jill,Cooper
876,Pamela,Austin
877,Denise,Carter
878,Helga,Schultze
879,Katalin,Borka
880,Wendy,Overton
881,Kimiyo,Yagahara
882,Edith,Winkens
883,Alena,Palmeova West
884,Marianna,Brummer
885,Marijke,Jansen
886,Sharon,Van Brandis
887,Becky,Vest
888,Trudy,Groenman
889,Joan,Wilshere
890,Miroslava,Holubova
891,Sonja,Pachta
892,Daphne,Pattison
893,Aleksandra,Ivanova
894,Francoise,Repoux
895,Isabel,Fernandez De Soto
896,Marilyn,Greenwood
897,Nancy,Ornstein
898,Heide,Orth
899,Erzsebet,Szell
900,Marina,Chuvirina
901,Barbara,Downs
902,Nell,Truman
903,Corinne,Molesworth
904,Hideko,Goto
905,Kristien,Shaw
906,Mariana,Simionescu
907,DUPE Carmen,Ibarra
908,Carmen,Perea Alcala
909,Miroslava,Kozeluhova
910,Florence,Guedy
911,Janet,Haas
912,Linky,Boshoff
913,Christine,Gimmig
914,Monica,Rho
915,Daryl,Gralka
916,Antonella,Rosa
917,Ching Ling,Chang
918,Veronica,Burton
919,Robin,Tenney
920,Elvira,Weisenberger
921,Kayoko,Fukuoka
922,Patricia,Reese
923,Laurie,Tenney
924,Maria Victoria,Baldovinos Cibeira
925,Penny,Moor
926,Beatriz,Araujo
927,Donna,Ganz
928,Linda,Thomas
929,Paulina,Peisachov
930,Elly,Appel
931,Julie,Anthony
932,Marina,Kroschina
933,Jeanne,Evert
934,Laurie,Fleming
935,Beatrix,Klein
936,Florenta,Mihai
937,Iris,Riedel Kuhn
938,Susana Maria,Villaverde
939,Kathy,May Teacher Paben
940,Alison,Mcmillan
941,Ilana,Kloss
942,Janice,Metcalf
943,Kathy,Kuykendall
944,Jane,Stratton
945,Rowena,Sanders
946,Marita,Redondo
947,Sylvie,Rual
948,Susie,Mehmedbasich
949,Brigette,Cuypers
950,Silvana,Urroz
951,Marise,Kruger
952,Mary,Struthers
953,Mary,Hamm
954,Viviana,Gonzalez
955,Claudia,Casabianca
956,Mary,Carillo
957,Carrie,Meyer
958,Ruta,Gerulaitis
959,Helle,Sparre
960,Mareen,Louie Harper
961,Robin,Harris
962,Ivanna,Madruga
963,Patricia,Medrado
964,Caroline,Stoll
965,Anne,Chevalier
966,Emilse,Raponi Longo
967,DUPE Kay,Mcdaniel
968,Zenda,Liess
969,Betty Ann,Grubb
970,Jeanne,Duvall
971,Linda,Siegel
972,Lucia,Romanov
973,Dominique,Beillan
974,Caroline,Franch
975,Lena,Sandin
976,Julie,Harrington
977,Stacy,Margolin
978,Dana,Gilbert
979,Roberta,Mccallum
980,Joyce,Portman
981,Debbie,Freeman
982,Andrea,Whitmore
983,Liliana,Giussani
984,Susan,Rollinson
985,Deborah,Jevans
986,Trey,Lewis
987,Barbara,Rossi
988,Yvona,Brzakova
989,Jenny,Klitch
990,Leigh Anne,Thompson
991,Claudia,Pasquale
992,Joanne,Russell
993,Elizabeth,Jones
994,Cornelia,Dries
995,Michelle,Torres
996,Ann,Gabriel
997,Nancy,Neviaser
998,Kate,Brasher
999,Beatrice,Guery
1000,Felicia,Raschiatore
1001,Nathalie,Phan Thanh
1002,Jean,Hepner
1003,Barbi,Bramblett
1004,Renata,Sasak
1005,Catrin,Jexell
1006,Amy,Holton
1007,Lea,Plchova
1008,Isabelle,Vernhes
1009,Jill,Davis
1010,Ginny,Purdy
1011,Rene,Mentz
1012,Natasha,Reva
1013,Elena,Eliseenko
1014,Rina,Einy
1015,Helene,Cedet
1016,Grace,Kim
1017,Hana,Fukarkova
1018,Angelika,Kanellopoulou
1019,Rene,Uys
1020,Melissa,Gurney
1021,Petra,Huber
1022,Laura,Garrone
1023,Debbie,Spence Nasim
1024,Eileen,Tell
1025,Susanne,Schmid
1026,Neige,Dias
1027,Cecille,Calmette
1028,Gabriela,Dinu
1029,Maeve,Quinlan
1030,Kathleen,Cummings
1031,Mariana,Perez Roldan
1032,Niurka,Sodupe
1033,Cecilia,Fernandez Parker
1034,Kristin,Kinney
1035,Helena,Dahlstrom
1036,Kate,Gompert
1037,Lydie,Van Hille
1038,Karolina,Karlsson
1039,Karen,Schimper
1040,Caterina,Nozzoli
1041,Luciana,Corsato Owsianka
1042,Cristina,Casale
1043,Andrea,Tiezzi
1044,Barbara,Romano
1045,Catherine,Mothes Jobkel
1046,Natalia,Egorova
1047,Silvia,La Fratta
1048,Andrea,Vieira
1049,Leona,Laskova
1050,Denisa,Krajcovicova
1051,Immaculada,Varas Caro
1052,Laura,Lapi
1053,Federica,Haumuller
1054,Sylvie,Sabas
1055,Katia,Piccolini
1056,Barbara,Collet
1057,Maria Luciana,Reynares
1058,Angelique,Olivier
1059,Agnes,Zugasti
1060,Misumi,Miyauchi
1061,Carole,Lucarelli
1062,Eva,Martincova
1063,Amelie,Castera
1064,Maria Francesca,Bentivoglio
1065,Audrey,Sidot
1066,Virginie,Buisson
1067,Neus,Avila Bonastre
1068,Caroline,Dhenin
1069,Magali,Lamarre
1070,Karolina,Jagieniak
1071,Emmanuelle,Curutchet
1072,Segolene,Berger
1073,Eva,Bes Ostariz
1074,Seon Young,Park
1075,Ana,Alcazar
1076,Liezel,Huber
1077,Sophie,Georges
1078,Sophie,Lefevre
1079,Eugenia,Kulikovskaya
1080,Hannah,Collin
1081,Louise,Latimer
1082,Joanne,Ward
1083,Lorna,Woodroffe
1084,Daja,Bedanova
1085,Nadejda,Ostrovskaya
1086,Shinobu,Asagoe
1087,Greta,Arn
1088,Mashona,Washington
1089,Karen,Cross
1090,Lucie,Ahl
1091,Stephanie,Defina
1092,Christine,Truman
1093,Joyce,Williams
1094,Alex,Cowie
1095,Lucia,Bassi
1096,Jennifer,Staley
1097,Rita,Bentley
1098,Marilyn,Aschner
1099,Mimi,Wheeler
1100,Jean,Forbes
1101,Christiane,Mercelis
1102,Janice,Townsend
1103,Alice,Tym
1104,Pixie,Lamm
1105,Lidy,Venneboer
1106,Margaret,Lee
1107,Betty,Pratt
1108,Nadine,Netter
1109,Florence,De La Courtie
1110,Vera,Roberts
1111,Bernice,Carr
1112,DUPE Lorna,Greville Collins
1113,Wendy,Hall
1114,Shirley,Bloomer
1115,Robin,Lloyd
1116,Victoria,Rogers
1117,Maria Teresa,Riedl
